time, All employees thousands architectural and engineering services not seasonally 
Jan-1990,920.8
Feb-1990,928.6
Mar-1990,936.0
Apr-1990,943.1
May-1990,948.6
Jun-1990,963.8
Jul-1990,965.6
Aug-1990,961.3
Sep-1990,944.1
Oct-1990,939.8
Nov-1990,930.6
Dec-1990,921.4
Jan-1991,906.9
Feb-1991,900.2
Mar-1991,899.5
Apr-1991,902.3
May-1991,908.5
Jun-1991,916.9
Jul-1991,919.5
Aug-1991,917.5
Sep-1991,910.0
Oct-1991,905.2
Nov-1991,899.1
Dec-1991,894.0
Jan-1992,885.8
Feb-1992,885.5
Mar-1992,890.0
Apr-1992,894.4
May-1992,903.2
Jun-1992,914.0
Jul-1992,915.8
Aug-1992,916.1
Sep-1992,907.2
Oct-1992,905.6
Nov-1992,905.0
Dec-1992,904.9
Jan-1993,898.4
Feb-1993,898.9
Mar-1993,908.2
Apr-1993,912.2
May-1993,924.4
Jun-1993,937.4
Jul-1993,939.9
Aug-1993,939.0
Sep-1993,932.9
Oct-1993,932.1
Nov-1993,930.2
Dec-1993,924.0
Jan-1994,912.0
Feb-1994,915.5
Mar-1994,922.1
Apr-1994,932.1
May-1994,946.7
Jun-1994,964.7
Jul-1994,972.4
Aug-1994,976.1
Sep-1994,973.8
Oct-1994,972.0
Nov-1994,972.3
Dec-1994,970.3
Jan-1995,966.6
Feb-1995,968.0
Mar-1995,975.5
Apr-1995,985.0
May-1995,995.3
Jun-1995,1011.7
Jul-1995,1014.8
Aug-1995,1017.6
Sep-1995,1008.9
Oct-1995,1010.5
Nov-1995,1011.2
Dec-1995,1006.5
Jan-1996,992.7
Feb-1996,994.2
Mar-1996,1002.2
Apr-1996,1012.9
May-1996,1022.6
Jun-1996,1041.1
Jul-1996,1041.5
Aug-1996,1045.3
Sep-1996,1038.2
Oct-1996,1038.4
Nov-1996,1038.7
Dec-1996,1033.0
Jan-1997,1024.9
Feb-1997,1028.9
Mar-1997,1038.0
Apr-1997,1048.4
May-1997,1058.2
Jun-1997,1077.0
Jul-1997,1082.7
Aug-1997,1087.2
Sep-1997,1077.6
Oct-1997,1082.2
Nov-1997,1080.7
Dec-1997,1081.4
Jan-1998,1074.1
Feb-1998,1073.3
Mar-1998,1083.3
Apr-1998,1095.7
May-1998,1109.3
Jun-1998,1135.6
Jul-1998,1140.1
Aug-1998,1143.7
Sep-1998,1131.5
Oct-1998,1132.6
Nov-1998,1133.7
Dec-1998,1131.4
Jan-1999,1123.6
Feb-1999,1126.1
Mar-1999,1135.3
Apr-1999,1149.4
May-1999,1162.1
Jun-1999,1185.5
Jul-1999,1195.1
Aug-1999,1195.8
Sep-1999,1181.9
Oct-1999,1188.6
Nov-1999,1191.1
Dec-1999,1190.1
Jan-2000,1188.5
Feb-2000,1192.9
Mar-2000,1201.9
Apr-2000,1214.5
May-2000,1230.1
Jun-2000,1261.3
Jul-2000,1267.2
Aug-2000,1270.1
Sep-2000,1257.7
Oct-2000,1260.4
Nov-2000,1258.3
Dec-2000,1258.7
Jan-2001,1253.2
Feb-2001,1256.3
Mar-2001,1261.3
Apr-2001,1269.3
May-2001,1280.0
Jun-2001,1301.9
Jul-2001,1305.8
Aug-2001,1303.1
Sep-2001,1280.8
Oct-2001,1275.5
Nov-2001,1264.6
Dec-2001,1251.7
Jan-2002,1237.3
Feb-2002,1229.9
Mar-2002,1233.9
Apr-2002,1239.2
May-2002,1250.9
Jun-2002,1264.1
Jul-2002,1266.9
Aug-2002,1265.9
Sep-2002,1246.8
Oct-2002,1248.0
Nov-2002,1242.9
Dec-2002,1234.2
Jan-2003,1208.4
Feb-2003,1210.8
Mar-2003,1212.7
Apr-2003,1217.9
May-2003,1226.1
Jun-2003,1236.5
Jul-2003,1245.7
Aug-2003,1241.4
Sep-2003,1234.4
Oct-2003,1235.1
Nov-2003,1232.9
Dec-2003,1228.9
Jan-2004,1214.2
Feb-2004,1213.5
Mar-2004,1226.0
Apr-2004,1241.8
May-2004,1254.9
Jun-2004,1275.1
Jul-2004,1282.0
Aug-2004,1282.4
Sep-2004,1270.1
Oct-2004,1283.3
Nov-2004,1282.8
Dec-2004,1280.3
Jan-2005,1257.5
Feb-2005,1260.3
Mar-2005,1269.0
Apr-2005,1283.5
May-2005,1296.4
Jun-2005,1325.3
Jul-2005,1334.1
Aug-2005,1339.8
Sep-2005,1335.9
Oct-2005,1344.1
Nov-2005,1351.4
Dec-2005,1342.7
Jan-2006,1327.7
Feb-2006,1334.1
Mar-2006,1349.3
Apr-2006,1362.0
May-2006,1379.9
Jun-2006,1405.8
Jul-2006,1419.8
Aug-2006,1422.6
Sep-2006,1408.5
Oct-2006,1411.6
Nov-2006,1411.8
Dec-2006,1406.0
Jan-2007,1395.4
Feb-2007,1397.4
Mar-2007,1403.8
Apr-2007,1411.4
May-2007,1428.0
Jun-2007,1451.8
Jul-2007,1458.3
Aug-2007,1454.7
Sep-2007,1444.6
Oct-2007,1453.5
Nov-2007,1450.1
Dec-2007,1448.0
Jan-2008,1430.7
Feb-2008,1431.3
Mar-2008,1431.4
Apr-2008,1437.4
May-2008,1446.4
Jun-2008,1463.8
Jul-2008,1470.3
Aug-2008,1463.2
Sep-2008,1440.1
Oct-2008,1438.3
Nov-2008,1424.8
Dec-2008,1404.7
Jan-2009,1377.6
Feb-2009,1356.5
Mar-2009,1339.7
Apr-2009,1333.4
May-2009,1327.0
Jun-2009,1328.9
Jul-2009,1321.7
Aug-2009,1317.1
Sep-2009,1307.7
Oct-2009,1305.9
Nov-2009,1298.0
Dec-2009,1292.8
Jan-2010,1267.3
Feb-2010,1261.6
Mar-2010,1261.6
Apr-2010,1269.0
May-2010,1273.3
Jun-2010,1284.5
Jul-2010,1290.0
Aug-2010,1291.8
Sep-2010,1275.5
Oct-2010,1281.1
Nov-2010,1279.6
Dec-2010,1279.3
Jan-2011,1259.6
Feb-2011,1266.5
Mar-2011,1269.6
Apr-2011,1282.5
May-2011,1289.1
Jun-2011,1307.4
Jul-2011,1314.0
Aug-2011,1317.2
Sep-2011,1306.9
Oct-2011,1308.6
Nov-2011,1307.5
Dec-2011,1303.1
Jan-2012,1290.0
Feb-2012,1295.1
Mar-2012,1299.1
Apr-2012,1312.0
May-2012,1322.0
Jun-2012,1337.0
Jul-2012,1341.1
Aug-2012,1342.7
Sep-2012,1334.9
Oct-2012,1337.0
Nov-2012,1334.2
Dec-2012,1335.1
Jan-2013,1314.8
Feb-2013,1319.2
Mar-2013,1323.9
Apr-2013,1333.4
May-2013,1346.7
Jun-2013,1362.2
Jul-2013,1365.3
Aug-2013,1366.1
Sep-2013,1353.1
Oct-2013,1359.1
Nov-2013,1357.5
Dec-2013,1356.6
Jan-2014,1342.5
Feb-2014,1340.4
Mar-2014,1345.0
Apr-2014,1356.4
May-2014,1369.3
Jun-2014,1390.1
Jul-2014,1400.1
Aug-2014,1398.6
Sep-2014,1390.9
Oct-2014,1394.5
Nov-2014,1394.4
Dec-2014,1392.0
Jan-2015,1378.4
Feb-2015,1375.0
Mar-2015,1380.8
Apr-2015,1391.8
May-2015,1404.7
Jun-2015,1419.1
Jul-2015,1427.8
Aug-2015,1417.0
Sep-2015,1403.8
Oct-2015,1414.5
Nov-2015,1404.7
Dec-2015,1401.0
Jan-2016,1390.0
Feb-2016,1386.2
Mar-2016,1384.2
Apr-2016,1389.6
May-2016,1400.3
Jun-2016,1418.6
Jul-2016,1425.7
Aug-2016,1420.6
Sep-2016,1406.2
Oct-2016,1415.5
Nov-2016,1410.1
Dec-2016,1408.7
Jan-2017,1396.8
Feb-2017,1397.9
Mar-2017,1407.3
Apr-2017,1418.8
May-2017,1430.0
Jun-2017,1453.5
Jul-2017,1459.0
Aug-2017,1457.5
Sep-2017,1443.9
Oct-2017,1454.3
Nov-2017,1451.0
Dec-2017,1453.5
Jan-2018,1436.3
Feb-2018,1442.3
Mar-2018,1441.8
Apr-2018,1452.2
May-2018,1466.5
Jun-2018,1491.5
Jul-2018,1498.5
Aug-2018,1501.2
Sep-2018,1482.8
Oct-2018,1495.4
Nov-2018,1492.8
Dec-2018,1491.1
Jan-2019,1474.1
Feb-2019,1479.0
Mar-2019,1485.9
Apr-2019,1495.6
May-2019,1509.7
Jun-2019,1533.1
Jul-2019,1541.5
Aug-2019,1538.6
Sep-2019,1523.0
Oct-2019,1529.1
Nov-2019,1532.4
Dec-2019,1532.4
Jan-2020,1517.3
Feb-2020,1527.6
Mar-2020,1524.6
Apr-2020,1463.7
May-2020,1472.4
Jun-2020,1498.2
Jul-2020,1502.6
Aug-2020,1507.2
Sep-2020,1502.8
Oct-2020,1510.5
Nov-2020,1507.9
Dec-2020,1506.7
Jan-2021,1491.5
Feb-2021,1492.6
Mar-2021,1496.4
Apr-2021,1513.7
May-2021,1527.5
Jun-2021,1550.9
Jul-2021,1568.9
Aug-2021,1573.5
Sep-2021,1569.2
Oct-2021,1582.3
Nov-2021,1584.4
Dec-2021,1589.6
Jan-2022,1577.5
Feb-2022,1583.0
Mar-2022,1587.6
Apr-2022,1603.6
May-2022,1615.6
Jun-2022,1624.0575202199502
Jul-2022,1628.2228557720355
Aug-2022,1628.2027146459404
Sep-2022,1623.9970968416746
Oct-2022,1615.6060023592254
Nov-2022,1603.0294311986
Dec-2022,1586.267383359802
Jan-2023,1587.4644567677499
Feb-2023,1575.6740826260725
Mar-2023,1579.386208718264
Apr-2023,1601.2681860152115
May-2023,1583.4163462016306
Jun-2023,1602.5036885524903
Jul-2023,1569.8760607836098
Aug-2023,1575.3522958545384
Sep-2023,1614.2192384301477
Oct-2023,1600.4536484636444
Nov-2023,1589.4028987486993
Dec-2023,1618.5333570491507
Jan-2024,1618.1461820054983
Feb-2024,1605.5832522549304
Mar-2024,1606.6781154441967
Apr-2024,1596.2815215634137
May-2024,1627.4487243146186
Jun-2024,1617.5174619081913
Jul-2024,1583.9372819528305
Aug-2024,1601.3215617939031
Sep-2024,1602.6168818986275
Oct-2024,1593.0491336941925
Nov-2024,1604.8376075800702
Dec-2024,1649.9022557666797
Jan-2025,1621.045402878102
Feb-2025,1643.2909053430792
Mar-2025,1641.0121120312401
Apr-2025,1627.0119890773917
May-2025,1628.7503535422313
Jun-2025,1654.0388901710357
Jul-2025,1626.2087908792569
Aug-2025,1636.2808739802533
Sep-2025,1646.1843557197647
Oct-2025,1642.5305273394972
Nov-2025,1630.9398978209017
Dec-2025,1651.3181551259393
Jan-2026,1632.0174779336526
Feb-2026,1659.103407461713
Mar-2026,1640.7130353498621
Apr-2026,1660.364364515838
May-2026,1663.93312599108
Jun-2026,1653.052345798615
Jul-2026,1635.5847131798512
Aug-2026,1643.8553931712122
Sep-2026,1679.7766667884653
Oct-2026,1637.5095660094207
Nov-2026,1655.7570954776897
Dec-2026,1646.8535351251032
Jan-2027,1648.2132896939602
Feb-2027,1662.6633827832713
Mar-2027,1689.3511158215886
Apr-2027,1660.2199867313223
May-2027,1656.0367123243589
Jun-2027,1689.228478382278
Jul-2027,1681.4210929650994
Aug-2027,1681.9514379732705
Sep-2027,1669.1812706748638
Oct-2027,1688.2185001946812
Nov-2027,1655.947637074039
Dec-2027,1654.109945191982
Jan-2028,1677.169152498578
Feb-2028,1707.3056600891855
Mar-2028,1699.6742171188382
Apr-2028,1685.1638531076405
May-2028,1699.9799475518787
Jun-2028,1697.3429899103958
Jul-2028,1709.7511225281958
Aug-2028,1696.053935520041
Sep-2028,1699.977133845142
Oct-2028,1710.3145959279586
Nov-2028,1706.5455610877498
Dec-2028,1693.0291734691205
Jan-2029,1686.2125897771366
Feb-2029,1698.9581912347182
Mar-2029,1678.943649192821
Apr-2029,1710.012965299483
May-2029,1728.941825151228
Jun-2029,1730.6265166997857
Jul-2029,1708.7404728255506
Aug-2029,1724.0574215825754
Sep-2029,1718.0337309288238
Oct-2029,1755.8489719414085
Nov-2029,1744.314087317072
Dec-2029,1719.0626558515376
Jan-2030,1766.0442864444487
Feb-2030,1710.2382308634371
Mar-2030,1705.2534182243987
Apr-2030,1726.7097564544677
May-2030,1725.9083069386297
Jun-2030,1726.2702187225818
Jul-2030,1719.1564302335273
Aug-2030,1760.7416317669235
Sep-2030,1735.4346498414043
Oct-2030,1759.8136252826043
Nov-2030,1720.2585349911838
Dec-2030,1735.8148088894984
Jan-2031,1748.7500131795075
Feb-2031,1734.211263885032
Mar-2031,1747.175645823367
Apr-2031,1738.7537680223754
May-2031,1725.382347042849
Jun-2031,1763.3488618536035
Jul-2031,1762.2190686701606
Aug-2031,1787.5108891348575
Sep-2031,1772.6297280206445
Oct-2031,1770.5101205308513
Nov-2031,1747.4911006368777
Dec-2031,1744.1104533747714
Jan-2032,1717.4051745469076
Feb-2032,1762.7337494915978
